Age,Education,Marital_Status,Income,Spending,Seniority,Has_child,Children,Wines,Fruits,Meat,Fish,Sweets,Gold
51,Postgraduate,In couple,57288.00,608.00,3.37,Has child,1 child,527.00,0.00,21.00,0.00,0.00,60.00
23,Postgraduate,Alone,86037.00,730.00,21.33,No child,No child,490.00,44.00,125.00,29.00,20.00,22.00
34,Postgraduate,In couple,43974.00,551.00,22.03,Has child,1 child,378.00,0.00,101.00,0.00,0.00,72.00
52,Postgraduate,Alone,50785.00,114.00,12.97,Has child,2 children,64.00,1.00,21.00,0.00,1.00,27.00
44,Postgraduate,In couple,90765.00,1724.00,8.43,No child,No child,547.00,99.00,812.00,151.00,82.00,33.00
36,Undergraduate,In couple,36550.00,577.00,19.73,Has child,1 child,47.00,90.00,94.00,123.00,103.00,120.00
47,Undergraduate,In couple,30753.00,81.00,15.00,Has child,2 children,12.00,5.00,25.00,0.00,9.00,30.00
45,Postgraduate,In couple,21918.00,33.00,10.80,Has child,1 child,1.00,6.00,7.00,11.00,5.00,3.00
61,Postgraduate,In couple,56129.00,660.00,15.70,Has child,1 child,320.00,48.00,133.00,39.00,72.00,48.00
47,Postgraduate,Alone,32557.00,80.00,7.40,Has child,1 child,34.00,3.00,29.00,0.00,4.00,10.00
29,Postgraduate,In couple,19510.00,30.00,13.17,Has child,2 children,9.00,0.00,7.00,3.00,4.00,7.00
38,Postgraduate,Alone,30992.00,43.00,17.67,Has child,1 child,17.00,0.00,14.00,7.00,3.00,2.00
31,Postgraduate,Alone,101970.00,1135.00,19.03,No child,No child,722.00,27.00,102.00,44.00,72.00,168.00
49,Undergraduate,In couple,71488.00,559.00,19.77,No child,No child,162.00,33.00,124.00,40.00,28.00,172.00
30,Postgraduate,Alone,79607.00,1923.00,17.70,No child,No child,450.00,133.00,951.00,173.00,0.00,216.00
61,Postgraduate,In couple,54348.00,90.00,3.93,Has child,2 children,70.00,0.00,16.00,0.00,0.00,4.00
58,Postgraduate,In couple,77376.00,661.00,4.90,Has child,2 children,492.00,19.00,110.00,16.00,12.00,12.00
62,Postgraduate,In couple,62998.00,463.00,12.30,Has child,1 child,120.00,58.00,73.00,65.00,89.00,58.00
56,Postgraduate,Alone,61331.00,632.00,19.10,Has child,2 children,534.00,5.00,47.00,0.00,5.00,41.00
45,Postgraduate,In couple,73448.00,725.00,7.87,No child,No child,236.00,106.00,189.00,23.00,41.00,130.00
50,Postgraduate,In couple,41551.00,279.00,13.87,Has child,2 children,220.00,0.00,33.00,3.00,0.00,23.00
47,Postgraduate,In couple,62981.00,1482.00,18.87,No child,No child,796.00,14.00,590.00,38.00,44.00,0.00
38,Undergraduate,Alone,9548.00,29.00,26.23,Has child,1 child,0.00,1.00,3.00,10.00,6.00,9.00
55,Postgraduate,In couple,33762.00,106.00,15.13,Has child,3 children,53.00,1.00,34.00,2.00,0.00,16.00
41,Postgraduate,Alone,35860.00,49.00,4.60,Has child,2 children,15.00,0.00,8.00,4.00,2.00,20.00
49,Postgraduate,Alone,36921.00,38.00,14.43,Has child,2 children,17.00,1.00,12.00,3.00,1.00,4.00
22,Postgraduate,Alone,92859.00,2077.00,23.83,No child,No child,962.00,61.00,921.00,52.00,61.00,20.00
38,Postgraduate,In couple,65104.00,1053.00,10.80,Has child,1 child,738.00,0.00,232.00,13.00,20.00,50.00
52,Postgraduate,In couple,86111.00,1385.00,17.77,No child,No child,399.00,28.00,756.00,36.00,40.00,126.00
40,Postgraduate,Alone,68352.00,871.00,13.40,Has child,1 child,614.00,16.00,132.00,43.00,33.00,33.00
26,Postgraduate,In couple,41883.00,312.00,18.80,Has child,1 child,32.00,34.00,41.00,73.00,16.00,116.00
38,Postgraduate,In couple,59809.00,877.00,23.87,Has child,2 children,598.00,16.00,141.00,32.00,41.00,49.00
39,Postgraduate,In couple,23957.00,68.00,23.53,Has child,1 child,2.00,1.00,18.00,20.00,11.00,16.00
33,Postgraduate,In couple,38547.00,22.00,13.40,Has child,1 child,6.00,1.00,10.00,0.00,1.00,4.00
41,Undergraduate,In couple,35688.00,211.00,25.77,Has child,3 children,73.00,3.00,90.00,12.00,1.00,32.00
48,Postgraduate,In couple,49605.00,127.00,3.50,No child,No child,42.00,16.00,29.00,12.00,20.00,8.00
61,Postgraduate,In couple,59354.00,459.00,5.43,Has child,2 children,295.00,21.00,78.00,39.00,13.00,13.00
45,Postgraduate,In couple,65747.00,460.00,7.03,Has child,1 child,346.00,17.00,48.00,23.00,13.00,13.00
42,Undergraduate,In couple,46344.00,429.00,21.97,Has child,1 child,233.00,20.00,57.00,8.00,20.00,91.00
26,Postgraduate,Alone,34176.00,89.00,4.83,Has child,1 child,5.00,7.00,24.00,19.00,14.00,20.00
62,Postgraduate,In couple,61010.00,1021.00,24.17,Has child,1 child,888.00,0.00,57.00,0.00,0.00,76.00
65,Postgraduate,In couple,69372.00,1381.00,19.73,No child,No child,997.00,26.00,269.00,34.00,13.00,42.00
56,Postgraduate,Alone,49967.00,306.00,15.10,Has child,1 child,212.00,6.00,69.00,4.00,12.00,3.00
36,Postgraduate,Alone,60199.00,18.00,12.90,Has child,3 children,8.00,1.00,7.00,2.00,0.00,0.00
37,Postgraduate,In couple,55375.00,162.00,11.73,Has child,1 child,42.00,11.00,57.00,10.00,28.00,14.00
59,Postgraduate,Alone,80317.00,1231.00,13.67,No child,No child,536.00,11.00,387.00,149.00,91.00,57.00
56,Postgraduate,Alone,30523.00,13.00,15.33,Has child,3 children,5.00,0.00,3.00,0.00,0.00,5.00
69,Postgraduate,In couple,70356.00,1706.00,23.27,No child,No child,1349.00,16.00,249.00,43.00,16.00,33.00
30,Postgraduate,In couple,23228.00,121.00,9.07,Has child,1 child,53.00,3.00,49.00,7.00,4.00,5.00
39,Postgraduate,Alone,74165.00,1293.00,17.37,No child,No child,1001.00,12.00,240.00,16.00,12.00,12.00
41,Postgraduate,In couple,157243.00,1608.00,7.23,Has child,1 child,20.00,2.00,1582.00,1.00,2.00,1.00
48,Postgraduate,In couple,43482.00,88.00,10.83,Has child,3 children,18.00,1.00,32.00,6.00,3.00,28.00
61,Postgraduate,Alone,62551.00,421.00,10.67,No child,No child,125.00,16.00,98.00,134.00,21.00,27.00
55,Postgraduate,Alone,52332.00,259.00,13.40,No child,No child,212.00,5.00,33.00,7.00,0.00,2.00
26,Postgraduate,Alone,66951.00,1117.00,11.20,No child,No child,277.00,162.00,305.00,173.00,76.00,124.00
57,Postgraduate,In couple,26091.00,89.00,7.37,Has child,2 children,15.00,10.00,19.00,8.00,17.00,20.00
49,Postgraduate,In couple,33456.00,36.00,5.53,Has child,2 children,7.00,3.00,10.00,8.00,1.00,7.00
32,Postgraduate,In couple,28718.00,57.00,14.93,Has child,1 child,12.00,4.00,6.00,11.00,8.00,16.00
44,Postgraduate,In couple,50447.00,148.00,5.53,Has child,2 children,85.00,7.00,24.00,2.00,3.00,27.00
55,Postgraduate,In couple,53537.00,93.00,8.23,Has child,2 children,81.00,0.00,6.00,0.00,0.00,6.00
47,Postgraduate,Alone,52074.00,119.00,6.10,Has child,1 child,59.00,0.00,12.00,0.00,0.00,48.00
39,Postgraduate,In couple,80427.00,1835.00,25.07,Has child,1 child,1149.00,71.00,449.00,69.00,71.00,26.00
66,Postgraduate,In couple,83837.00,1318.00,21.90,No child,No child,847.00,66.00,119.00,86.00,89.00,111.00
44,Postgraduate,In couple,38853.00,45.00,4.47,Has child,2 children,29.00,0.00,14.00,0.00,0.00,2.00
55,Postgraduate,In couple,38285.00,10.00,3.40,Has child,3 children,2.00,0.00,5.00,2.00,0.00,1.00
63,Undergraduate,In couple,78497.00,978.00,10.23,No child,No child,207.00,26.00,447.00,75.00,0.00,223.00
38,Postgraduate,In couple,51650.00,191.00,4.87,Has child,1 child,152.00,3.00,22.00,2.00,5.00,7.00
26,Undergraduate,In couple,16248.00,57.00,4.90,Has child,1 child,12.00,11.00,10.00,3.00,12.00,9.00
68,Postgraduate,In couple,66835.00,1033.00,12.37,No child,No child,620.00,26.00,195.00,34.00,17.00,141.00
30,Postgraduate,In couple,30477.00,66.00,8.50,Has child,1 child,47.00,1.00,6.00,0.00,0.00,12.00
53,Undergraduate,In couple,28249.00,43.00,3.70,No child,No child,1.00,9.00,7.00,2.00,14.00,10.00
31,Postgraduate,In couple,25271.00,50.00,22.27,Has child,1 child,10.00,1.00,18.00,10.00,4.00,7.00
44,Postgraduate,Alone,32303.00,39.00,7.00,Has child,1 child,35.00,0.00,2.00,0.00,0.00,2.00
48,Postgraduate,In couple,61286.00,608.00,14.27,Has child,1 child,356.00,0.00,107.00,19.00,9.00,117.00
38,Postgraduate,In couple,74068.00,1581.00,18.80,No child,No child,783.00,30.00,537.00,140.00,76.00,15.00
50,Postgraduate,In couple,45759.00,68.00,19.60,Has child,2 children,42.00,1.00,18.00,3.00,0.00,4.00
36,Undergraduate,In couple,24882.00,80.00,25.17,Has child,1 child,1.00,4.00,10.00,29.00,0.00,36.00
25,Postgraduate,In couple,66973.00,1282.00,16.83,No child,No child,466.00,22.00,432.00,147.00,113.00,102.00
114,Undergraduate,Alone,36640.00,65.00,12.43,Has child,1 child,15.00,6.00,8.00,7.00,4.00,25.00
26,Postgraduate,In couple,38872.00,91.00,16.40,Has child,1 child,23.00,3.00,21.00,3.00,19.00,22.00
41,Postgraduate,In couple,51148.00,315.00,19.77,Has child,2 children,235.00,6.00,45.00,8.00,9.00,12.00
37,Postgraduate,In couple,31353.00,31.00,9.30,Has child,2 children,10.00,0.00,10.00,3.00,1.00,7.00
34,Postgraduate,In couple,69661.00,834.00,4.80,No child,No child,656.00,16.00,106.00,32.00,16.00,8.00
60,Postgraduate,In couple,80067.00,1600.00,12.67,No child,No child,519.00,17.00,813.00,27.00,173.00,51.00
60,Postgraduate,In couple,86718.00,1270.00,20.83,No child,No child,344.00,189.00,482.00,50.00,33.00,172.00
41,Postgraduate,Alone,46854.00,263.00,6.23,Has child,2 children,96.00,1.00,79.00,7.00,1.00,79.00
62,Postgraduate,Alone,69142.00,535.00,3.23,Has child,1 child,448.00,4.00,34.00,6.00,4.00,39.00
46,Postgraduate,Alone,75922.00,1295.00,9.97,No child,No child,265.00,138.00,553.00,224.00,23.00,92.00
36,Postgraduate,Alone,63693.00,1150.00,11.83,Has child,1 child,587.00,43.00,337.00,42.00,87.00,54.00
37,Postgraduate,In couple,102160.00,1240.00,23.37,No child,No child,763.00,29.00,138.00,76.00,176.00,58.00
49,Postgraduate,Alone,40637.00,38.00,14.80,Has child,2 children,22.00,0.00,13.00,0.00,0.00,3.00
30,Postgraduate,Alone,18890.00,35.00,23.10,No child,No child,6.00,4.00,1.00,7.00,2.00,15.00
26,Postgraduate,In couple,29604.00,53.00,10.00,Has child,1 child,7.00,6.00,13.00,7.00,6.00,14.00
51,Postgraduate,Alone,48721.00,293.00,16.97,Has child,2 children,81.00,18.00,113.00,47.00,13.00,21.00
48,Postgraduate,In couple,44794.00,65.00,3.93,Has child,1 child,54.00,0.00,7.00,0.00,0.00,4.00
60,Postgraduate,Alone,64497.00,1804.00,25.13,Has child,1 child,1170.00,48.00,320.00,42.00,32.00,192.00
58,Postgraduate,In couple,46097.00,241.00,18.40,Has child,1 child,72.00,24.00,68.00,65.00,4.00,8.00
60,Postgraduate,In couple,77972.00,1101.00,6.67,No child,No child,613.00,22.00,319.00,33.00,102.00,12.00
46,Postgraduate,In couple,44377.00,264.00,24.30,Has child,2 children,224.00,0.00,30.00,0.00,0.00,10.00
40,Postgraduate,In couple,46014.00,541.00,20.70,Has child,2 children,410.00,0.00,59.00,19.00,9.00,44.00
29,Postgraduate,In couple,70951.00,1198.00,17.27,No child,No child,239.00,10.00,554.00,254.00,87.00,54.00
37,Postgraduate,In couple,41443.00,482.00,6.20,Has child,1 child,171.00,7.00,171.00,25.00,19.00,89.00
36,Undergraduate,Alone,52195.00,17.00,4.83,Has child,3 children,12.00,0.00,4.00,0.00,0.00,1.00
66,Postgraduate,In couple,83790.00,1615.00,10.77,No child,No child,1076.00,16.00,417.00,42.00,48.00,16.00
60,Postgraduate,Alone,44551.00,285.00,13.30,Has child,1 child,182.00,4.00,33.00,0.00,0.00,66.00
34,Postgraduate,In couple,69508.00,1135.00,22.97,Has child,1 child,824.00,32.00,162.00,42.00,32.00,43.00
26,Undergraduate,In couple,45204.00,114.00,5.87,Has child,1 child,30.00,11.00,25.00,29.00,1.00,18.00
45,Postgraduate,In couple,72460.00,1047.00,10.80,No child,No child,377.00,10.00,540.00,80.00,30.00,10.00
44,Postgraduate,In couple,77622.00,714.00,5.77,Has child,2 children,520.00,7.00,154.00,19.00,0.00,14.00
34,Postgraduate,In couple,30732.00,185.00,21.23,Has child,1 child,155.00,1.00,25.00,0.00,1.00,3.00
52,Postgraduate,Alone,63887.00,1245.00,25.20,Has child,1 child,897.00,23.00,207.00,15.00,11.00,92.00
36,Postgraduate,In couple,42011.00,189.00,18.57,Has child,1 child,131.00,0.00,16.00,2.00,1.00,39.00
38,Postgraduate,In couple,51369.00,576.00,23.63,Has child,1 child,297.00,7.00,79.00,0.00,11.00,182.00
62,Postgraduate,Alone,51537.00,1103.00,22.13,Has child,1 child,787.00,20.00,204.00,0.00,0.00,92.00
42,Postgraduate,In couple,79930.00,1753.00,26.23,No child,No child,792.00,86.00,740.00,67.00,51.00,17.00
28,Postgraduate,In couple,34320.00,17.00,7.67,Has child,1 child,4.00,1.00,9.00,3.00,0.00,0.00
48,Postgraduate,Alone,37070.00,433.00,18.77,Has child,2 children,231.00,7.00,137.00,4.00,15.00,39.00
52,Undergraduate,Alone,81975.00,1588.00,21.23,Has child,1 child,983.00,76.00,184.00,180.00,138.00,27.00
43,Postgraduate,In couple,38590.00,22.00,16.90,Has child,1 child,3.00,1.00,8.00,4.00,3.00,3.00
63,Postgraduate,Alone,15033.00,19.00,5.70,No child,No child,0.00,4.00,5.00,6.00,0.00,4.00
49,Postgraduate,In couple,62745.00,1117.00,18.67,Has child,1 child,562.00,21.00,464.00,28.00,10.00,32.00
39,Undergraduate,In couple,22212.00,69.00,9.97,Has child,1 child,5.00,9.00,20.00,6.00,8.00,21.00
32,Postgraduate,In couple,23661.00,23.00,10.13,Has child,1 child,18.00,0.00,4.00,0.00,0.00,1.00
56,Postgraduate,Alone,79761.00,605.00,12.17,Has child,1 child,415.00,5.00,124.00,15.00,35.00,11.00
41,Postgraduate,Alone,7500.00,57.00,9.40,Has child,1 child,5.00,3.00,10.00,12.00,7.00,20.00
121,Undergraduate,Alone,60182.00,22.00,4.67,Has child,1 child,8.00,0.00,5.00,7.00,0.00,2.00
46,Postgraduate,Alone,73455.00,2088.00,11.37,No child,No child,901.00,61.00,757.00,186.00,163.00,20.00
56,Postgraduate,In couple,64961.00,1009.00,21.67,Has child,1 child,382.00,114.00,276.00,75.00,124.00,38.00
43,Postgraduate,Alone,22804.00,26.00,14.33,Has child,1 child,14.00,1.00,7.00,2.00,1.00,1.00
24,Postgraduate,In couple,73687.00,1627.00,10.33,No child,No child,559.00,153.00,503.00,218.00,13.00,181.00
56,Postgraduate,In couple,61074.00,1102.00,25.93,Has child,1 child,789.00,0.00,133.00,0.00,28.00,152.00
50,Postgraduate,In couple,31686.00,17.00,4.03,Has child,2 children,11.00,0.00,5.00,0.00,0.00,1.00
42,Postgraduate,In couple,80134.00,1690.00,16.73,Has child,1 child,1218.00,16.00,272.00,104.00,0.00,80.00
61,Postgraduate,In couple,75027.00,1390.00,21.10,Has child,1 child,925.00,64.00,179.00,133.00,12.00,77.00
26,Postgraduate,In couple,67546.00,2126.00,25.47,No child,No child,864.00,134.00,768.00,150.00,38.00,172.00
45,Postgraduate,In couple,65176.00,1531.00,23.50,Has child,1 child,960.00,28.00,183.00,220.00,70.00,70.00
39,Postgraduate,Alone,31160.00,64.00,12.77,Has child,1 child,16.00,3.00,25.00,6.00,1.00,13.00
